Entity	Precision	Recall	F1 Score
employerName	0.9	0.88	0.89
employerAddressStreet_name	0.85	0.83	0.84
employerAddressCity	0.91	0.89	0.9
employerAddressState	0.93	0.91	0.92
employerAddressZip	0.87	0.86	0.86
einEmployerIdentificationNumber	0.94	0.93	0.94
employeeName	0.89	0.87	0.88
ssnOfEmployee	0.95	0.93	0.94
box1WagesTipsAndOtherCompensations	0.88	0.85	0.86
box2FederalIncomeTaxWithheld	0.86	0.84	0.85
box3SocialSecurityWages	0.91	0.89	0.9
box4SocialSecurityTaxWithheld	0.89	0.87	0.88
box16StateWagesTips	0.86	0.84	0.85
box17StateIncomeTax	0.87	0.85	0.86
taxYear	0.93	0.91	0.92
